# Accelerometer Data File
# Started @Tue Jun 13 17:30:27 GMT+01:00 2017
#
#
# sensor Vendor: Bosch
# sensor Name: BMI160 accelerometer
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
2.929 6.682 7.654 2
2.727 6.696 7.74 3
2.581 6.828 7.683 2
2.5 6.902 7.733 3
2.399 6.804 7.505 2
2.447 6.868 7.261 3
2.428 6.737 6.844 3
2.323 6.768 6.473 2
2.294 6.811 5.879 3
2.26 6.885 5.237 2
2.177 6.95 4.955 3
2.117 7.082 4.33 2
2.033 7.098 3.879 3
2.057 7.235 3.429 2
1.999 7.225 3.123 3
2.179 7.22 3.022 2
2.385 7.192 2.85 3
2.493 7.098 2.749 2
2.55 7.101 2.794 3
2.512 7.067 3.022 2
2.548 6.988 3.173 3
2.555 7.007 3.47 2
2.608 7.026 3.946 3
2.569 6.957 4.356 2
2.624 6.938 4.794 3
2.905 6.804 5.321 3
3.317 6.624 5.815 2
3.832 6.251 6.174 3
4.373 5.992 6.562 2
4.579 5.831 7.134 3
4.481 5.824 7.391 2
4.239 5.836 7.946 3
4.069 5.769 8.31 2
4.011 5.671 8.641 3
3.82 5.582 8.959 2
3.661 5.637 9.086 3
3.527 5.726 9.232 2
3.278 5.69 9.309 3
3.194 5.736 9.51 2
3.247 5.678 9.441 3
3.527 5.527 9.395 2
3.858 5.376 9.196 3
4.126 5.276 8.772 3
4.701 5.156 8.471 2
5.259 4.919 7.953 3
5.989 4.663 7.304 2
6.828 4.363 6.916 3
7.362 4.061 6.191 2
7.649 3.951 5.771 3
7.755 3.846 5.3 2
7.659 3.961 5.077 3
7.606 4.155 4.869 2
7.139 4.327 4.631 3
6.952 4.428 4.521 2
6.749 4.718 4.612 3
6.701 4.821 4.758 2
6.121 5.003 4.574 3
5.75 5.257 4.708 2
5.436 5.393 4.608 3
5.029 5.58 4.603 3
4.703 5.867 4.49 2
4.437 6.047 4.406 3
4.107 6.171 4.344 2
3.92 6.26 4.251 3
3.836 6.289 4.083 2
3.877 6.159 3.899 3
3.896 6.159 3.808 2
3.87 6.064 3.712 3
4.174 5.997 3.609 2
4.212 5.81 3.642 3
4.557 5.795 3.69 2
